"SITE","DATE","OBSERVER","NOTES","start_hour","end_hour","year"
"Manuel Correlus State Forest","05/26/2013","Marylin Miller & Ronald Zentner","2216-0125.  Clear skies, high wind, low noise interference.  There is discrepency between Marilyn and Ron's direction of each calling bird.  For this I went with Marilyn's Description.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used: This was the case for stops 6, 8 & 10.","22:16","1:25",2013
"CCNS - Marconi Station - Wellfleet","06/15/2013","Chris Buelow","2130-2255.  Clear skies, light wind, low-to-moderate wind. The gate leading to Stop 01, near the Marconi Beach parkinglot, was locked and not surveyed.  Access to Stop 08 was unclear and not surveyed.","21:30","22:55",2013
"CCNS - Provincelands","06/15/2013","Chris Buelow","2305-2355.  Clear skies, calm, low noise.  Stops 6-10 need to be ground-truthed in the daylight and were not surveyed.  Spadefoot Toads were chorusing loudly near the Airport.","23:05","23:55",2013
"Massachusetts Military Reservation","06/19/2013","Stefanie Paventy, Thomas Vohoska & Conner White","2035-2252. Partly cloudy, calm, low noise.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used.","20:35","22:52",2013
"Castle Neck, Ipswich","05/30/2013","Jeff Denoncour","2201-2356.  Light wind, clear sky, low noise.  This route was intended to be a continuation of the Plum Island route, but TTOR staff did not follow the prescribed route and instead focused the survey on just Castle hill and Crane Beach.  No whip-poor-wills were observed on this run, but staff did report peripheral sighhtings of whip-poor-will on Castle Neck on May 02, 2013 (points 1 and 5 by Tim O'Riordan) and June 06, 2013 (2 birds at point 5 by Jim Berry).                                                                                                                                                   Jeff Denoncour did report two COMMON NIGHTHAWKS heard during the survey, both at point 3, one calling from the Cedar Point area, the other from the Wigwam Hill area.  More detail to follow.","22:01","23:56",2013
"Orchard Street Area, Byfield","05/20/2013","Lynette Leka","2109-0000: Calm, clear, moderate noise and a fair number of passing cars (0-6 per stop).  This the first running of this route in 2013; the second (June 19, 2013) detected zero whip-poor-wills.","21:09","0:00",2013
"Mast Road, Plymouth (Myles Standish)","06/01/2013","Trevor Lloyd-Evans","0201-0354.  Calm, clear, low noise, very few cars.","2:01","3:54",2013
"Western Myles Standish SP","05/28/2013","Trevor Lloyd-Evans","0014-0206.  Calm, clear, quiet.","0:14","2:06",2013
"Western Myles Standish SP","05/28/2013","Trevor Lloyd-Evans","0014-0206.  Calm, clear, quiet.","0:14","2:06",2013
"Western Myles Standish SP","05/28/2013","Trevor Lloyd-Evans","0014-0206.  Calm, clear, quiet.","0:14","2:06",2013
"Western Myles Standish SP","05/28/2013","Trevor Lloyd-Evans","0014-0206.  Calm, clear, quiet.","0:14","2:06",2013
"Nantucket Moors","06/19/2013","Julia Blyth, Tabatha Hawkins","2108-2325. Calm, clear, moderate noise, few cars.  Route has changed since lasy year: Last year's point 10 ommitted, point 2 added this year, last year's points 2-9 shifted down.  This should be the route moving forward.","21:08","23:25",2013
"Quabbin - Prescott","05/18/2013","Larry Therrien","2021-2158.  Moderate to high wind, mostly clear, low noise.","20:21","21:58",2013
"Quabbin - South Quabbin","05/30/2013","Larry Therrien","2055-2240.  Calm, clear, intermittent noise.  12 cars at stop 01, few-to-none after.  1 whip-poor-will heard between stops 01 and 02.","20:55","22:40",2013
"Oxbow NWR (The Desert)","05/27/2013","Laura Mattei, Eileen McGourty","2049-0021.  Calm, clear, low noise.  Eileen McGourty (Oxbow NWR) surveyed stops 3-7 on her own, Laura Mattei (SVLT) surveyed stops 1,2 and  8-10 on her own.","20:49","0:21",2013
"Parker River NWR (Plum Island)","06/21/2013","Holly Haller, Patricia Evans","2045-2250.  Calm, mostly clear, low noise.  COMMON NIGHTHAWK reported from Stop 5.  Stops 8-10 do not exist (Plum Island is not long enough); the Castle Neck route was intended to be the extension of the Plum Island route, but TTOR staff did run the Castle Neck route as designed in 2013.","20:45","22:50",2013
"Douglas State Forest","05/28/2013","Kim Justham","0305-0452.  Calm, clear, low-to-moderate noise.  No data from Stop 10.","3:05","4:52",2013
"Mashpee/Falmouth","06/01/2013","Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Mashpee/Falmouth","06/01/2013","Kim Justham","0230-?. Calm, clear, moderate noise (excessive noise from substation at Stop 2).                                                                                CHUCK-WILL'S-WIDOW  heard ENE at Stop 8.","2:30",NA,2013
"Freetown State Forest","06/21/2013","Lynn Abbey, Everet Castro","2045-2245.  Low Wind, Clear Sky, Low Noise.","20:45","22:45",2013
"Old Sandwich Road, Plymouth (Pine Hills)","05/20/2013","Stew Sanders, Ken Donovan",NA,NA,NA,2013
"Manuel Correlus State Forest","06/06/2014","Marylin Miller & Ronald Zentner","2034-2335.  Clear skies, calm, moderate noise interference.  There is discrepency between Marilyn and Ron's direction of each calling bird.  For this I went with Marilyn's Description.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used: This was the case for stops 1, 3, 6, 9 and 10. Same Route Run as 2013.","20:34","23:35",2014
"Nashua River Floodplain: Route #1","06/14/2014","Dick & Peg Knowlton","1147-0034. Calm, mostly clear, apparently a good deal of traffic noise.  This is an 11-point survey.  First Year this Route has been run.","11:47","0:34",2014
"Nashua River Floodplain: Route #2","06/15/2014","Dick & Peg Knowlton","2244-0210.  Calm, mostly clear, moderate traffic noise.  First Year this Route has been run.  ADDITIONAL WHIP-POOR-WILL HEARD: at Pine Hill Gate (1 east, 1 west) during this survey: this is stop 1 of Route #1, where they had 1 bird calling from the east of the gate on the previous night's survey of Route #1.","22:44","2:10",2014
"Quabbin - Prescott","06/07/2014","Larry Therrien","2040-2225.  Calm, clear, low noise.  Same route as 2013.","20:40","22:25",2014
"Quabbin - South Quabbin","06/05/2014","Larry Therrien","2038-2244  Calm, mostly clear, intermittent noise.  ","20:38","22:44",2014
"Freetown State Forest","06/16/2014","Lynn Abbey, Everet Castro","2045-2320.  Low Wind, Mostly Clear Sky, Low Noise.  Same Route as 2013.","20:45","23:20",2014
"Nantucket Moors","05/15/2014","Julia Blythe","2045-2300. Moderate Wind, Mostly Clear, moderate noise, few cars.  Same Route as 2013.  Julia and Ginger each recorded results seoerately, with a discrepency on point 4: per ususal, I went with the high count for the point (2 calling birds).","20:45","23:00",2014
"Old Sandwich Road, Plymouth (Pine Hills)","06/07/2014","Stew Sanders, Ken Donovan","2121-2350.  Calm, clear sky, moderate noise.","21:21","23:50",2014
"Sylvester Street, Northampton","05/19/2014","Benjamin Mazzei","0239-0436: Calm, clear, low noise.  First run of this route.","2:39","4:36",2014
"Drake & Sodom Mountains, Southwick","06/16/2014","Benjamin Mazzei","0225-xxxx: Calm, clear, low noise.  First run of this route.  Stops 6-8 not able to be accessed due to gate.","2:25",NA,2014
"Parker River NWR","06/16/2014","Katlyn Hojnecki","2330-0032: Light wind, moderately cloudy, low-to-moderate noise","23:30","0:32",2014
"Western Myles Standish SP","05/28/2013","Trevor Lloyd-Evans","2055-2247:  Calm, clear, quiet.  No change in stop location since 2012.","20:55","22:47",2014
"Western Myles Standish SP","05/28/2013","Trevor Lloyd-Evans","2055-2247:  Calm, clear, quiet.  No change in stop location since 2012.","20:55","22:47",2014
"Western Myles Standish SP","05/28/2013","Trevor Lloyd-Evans","2055-2247:  Calm, clear, quiet.  No change in stop location since 2012.","20:55","22:47",2014
"Western Myles Standish SP","05/28/2013","Trevor Lloyd-Evans","2055-2247:  Calm, clear, quiet.  No change in stop location since 2012.","20:55","22:47",2014
"Mast Road, Plymouth (Myles Standish)","06/15/2014","Trevor Lloyd-Evans","0201-0354.  Calm, clear, low noise, very few cars.  No change in stop location since 2012.","2:01","3:54",2014
"Spring Pond Woods","06/16/2014","Leslie Courtemanche, Katerina Panagiotakis, Bill Cook","2107-2145.  light wind, partly cloudy, low-to-high noise (Logan Airfiled traffic at Point 3).  THESE POINT DO NOT CORRESPOND TO DESIGNATED ROUTE DESINGED.","21:07","21:45",2014
"Crane Beach","05/15/2014","Jeff Denoncour","2220-0150  light wind, cloudy early, then clear, low noise.  Observer is confident that all birds were unique.  THESE POINT DO NOT CORRESPOND TO DESIGNATED ROUTE DESINGED.","22:20","1:50",2014
"Masachusetts Military Reservation","06/06/2014","Richard Course, Brooks Kohli, Iris Clearwater","2130-0030.  Calm, clear, low-to-moderate noise. ROUND TWO OF TWO FOR 2014","21:30","0:30",2014
"Masachusetts Military Reservation","06/06/2014","Richard Course, Brooks Kohli, Iris Clearwater","2130-0030.  Calm, clear, low-to-moderate noise. ROUND TWO OF TWO FOR 2014","21:30","0:30",2014
"Masachusetts Military Reservation","06/06/2014","Richard Course, Brooks Kohli, Iris Clearwater","2130-0030.  Calm, clear, low-to-moderate noise. ROUND TWO OF TWO FOR 2014","21:30","0:30",2014
"Masachusetts Military Reservation","06/06/2014","Richard Course, Brooks Kohli, Iris Clearwater","2130-0030.  Calm, clear, low-to-moderate noise. ROUND TWO OF TWO FOR 2014","21:30","0:30",2014
"Masachusetts Military Reservation","06/06/2014","Richard Course, Brooks Kohli, Iris Clearwater","2130-0030.  Calm, clear, low-to-moderate noise. ROUND TWO OF TWO FOR 2014","21:30","0:30",2014
"Masachusetts Military Reservation","05/20/2014","Richard Course, Brooks Kohli","2130-0030.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO IN 2014","21:30","0:30",2014
"Masachusetts Military Reservation","05/20/2014","Richard Course, Brooks Kohli","2130-0030.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO IN 2014","21:30","0:30",2014
"Masachusetts Military Reservation","05/20/2014","Richard Course, Brooks Kohli","2130-0030.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO IN 2014","21:30","0:30",2014
"Masachusetts Military Reservation","05/20/2014","Richard Course, Brooks Kohli","2130-0030.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO IN 2014","21:30","0:30",2014
"Masachusetts Military Reservation","05/20/2014","Richard Course, Brooks Kohli","2130-0030.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO IN 2014","21:30","0:30",2014
"Masachusetts Military Reservation","05/20/2014","Richard Course, Brooks Kohli","2130-0030.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO IN 2014","21:30","0:30",2014
"Oxbow NWR (The Desert)","06/15/2014","Laura Mattei, Gregory Billingham, Eve Donahue, Renate Hanauer, Don Chauls, Audrey Guzik, Elena Guzik, Carol Levin","2250-2340.  Mostly clear, calm.  Carol Levin surveyed stops 1-2, Audrey + Elena Guzik stops 3-4, Renate Hanauer & Don Chauls stops 5 & 8, Laura Mattei stops 6-7, Gregory Billingham & Eve Donahue stops 9-10.","22:50","23:40",2014
"Manuel Correlus State Forest","06/03/2015","Marylin Miller & Ronald Zentner","2119-0000.  Calm and clear.  Many cars throughout.  Temperatures cold for the season, starting at 42 and ending at 39.  An additional bird was heard calling after listening period had ended at stop 7 (SE).","21:19","0:00",2015
"Nashua River Floodplain: Route #1","06/03/2015","Dick & Peg Knowlton","2115-2345. Calm, mostly clear, apparently a good deal of traffic noise.  This is an 11-point survey.  This is the same route run in 2014.","21:15","23:45",2015
"Nashua River Floodplain: Route #2","06/03/2015","Dick & Peg Knowlton","2355-0201.  Calm, mostly clear, moderate traffic noise.    Point 9 not accessible due to posting.  This is the same route run in 2014.","23:55","2:01",2015
"Quabbin - Prescott","05/29/2015","Larry Therrien","2031-2213.  Calm, mostly clear, low noise.  Same route since 2013.  Additional EWPW heard: 1 EWPW between stops 1  and 2; 2 EWPW heard bewteen stops 3 and 4.  Also, a song that sounded like CWWI heard bewteen stops 3 and 4, but was too brief to confirm.","20:31","22:13",2015
"Quabbin - South Quabbin","05/28/2015","Larry Therrien","2038-2244  Calm, clear, low noise.  Same orute run in 2014.  Additional EWPW heard between stops 5 and 6 (near spillway).","20:38","22:44",2015
"Quabbin - North Quabbin","05/29/2015","Chris Buelow","2243-0015.  Calm, mostly clear, low noise.  Partial Route (stops 1-4 & 7 not visisted).","22:43","0:15",2015
"Quabbin - East Quabbin","05/29/2015","Chris Buelow","0025-0230  Calm, mostly clear, low noise.  Stop 1 not visited.  Stop 4 should be moved to Double Day Village shore.  EWPW heard at stop 6 was on Leveau Island.  EWPW heard at stop 8 was on Mt. Zion","0:25","2:30",2015
"Freetown State Forest","06/03/2015","Lynn Abbey, Everet Castro","2045-2315.  Calm, mostly clear.  Very Quiet.  Additional birds observed at: 1 bird seen sitting on Copicut Road beetween stops 6 & 7; one bird heard calling east of stop 6 along Cedar Swamp Road.  ","20:45","23:15",2015
"Old Sandwich Road, Plymouth (Pine Hills)","06/30/2015","Stew Sanders, Ken Donovan, Melissa Brosanders","2104-2312.  Calm, clear sky, moderate noise.","21:04","23:12",2015
"Sylvester Street, Northampton","06/03/2015","Benjamin Mazzei","2200-xxxx: Mostly calm, Mostly clear, low noise.  ","22:00",NA,2015
"Drake & Sodom Mountains, Southwick","06/13/2015","Benjamin Mazzei","2130-xxxx:low wind, mkostly clear, some  noise.  First run of this route.  Stops 6-8 are different from last year, but coordinates of new stops were not correct.","21:30",NA,2015
"Western Myles Standish SP","07/01/2015","Trevor Lloyd-Evans","2142-2329:  Calm, clear, quiet.  No change in stop location since 2012.","21:42","23:29",2015
"Western Myles Standish SP","07/01/2015","Trevor Lloyd-Evans","2142-2329:  Calm, clear, quiet.  No change in stop location since 2012.","21:42","23:29",2015
"Western Myles Standish SP","07/01/2015","Trevor Lloyd-Evans","2142-2329:  Calm, clear, quiet.  No change in stop location since 2012.","21:42","23:29",2015
"Western Myles Standish SP","07/01/2015","Trevor Lloyd-Evans","2142-2329:  Calm, clear, quiet.  No change in stop location since 2012.","21:42","23:29",2015
"Mast Road, Plymouth (Myles Standish)","06/03/2015","Trevor Lloyd-Evans","2155-2342.  Calm, clear, low noise, very few cars.  No change in stop location since 2012.","21:55","23:42",2015
"Masachusetts Military Reservation","06/06/2014","Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Masachusetts Military Reservation","06/06/2014","Laura Elston, Matt Penella, Tyler Barnard, Jake McCumber","2048-2228.  Calm, clear, low-to-moderate noise. ROUND ONE OF TWO FOR 2015","20:48","22:28",2015
"Orchard Street Area, Byfield","06/03/2015","Lynette Leka","2130-2355: Calm, clear, moderate noise and a fair number of passing cars.  This is the first running of this route in 2015.  This route has not changed in several years.","21:30","23:55",2015
"Orchard Street Area, Byfield","06/26/2015","Lynette Leka","2135-2345: Calm, clear, moderate noise and a fair number of passing cars.  This is the second running of this route in 2015.  This route has not changed in several years.","21:35","23:45",2015
"Brimfield Tornado Route West","06/24/2015","Rebecca DiGirolomo","2057-2332: Calm, clear, moderate noise.  This is the inaugural running of this route.","20:57","23:32",2015
"Blue Hills","07/03/2015","James Condon","2130-2330: Calm, clear, high noise.  This is the inaugural running of this route.","21:30","23:30",2015
"Oxbow NWR (The Desert)","06/30/2015","Laura Mattei, Eileen McGourty, Carol Levin, Martin Levin, Dave Henkels, Alicia Coleman","2100-22201.  Mostly clear, calm.  Carol & Martin surveyed stops 1-2, Laura & Eileen surveyed stops 3-7, and Dave & Alicia surveyed stops 8-10.","21:00","22:20",2015
"Manuel Correlus State Forest","05/19/2016","Marylin Miller, Ronald Zentner","2021-23015.  Calm and partly cloudy  Moderate noise through most of survey.  This is the same route run beginning in 2013.","20:21","23:01",2016
"Nashua River Floodplain: Route #1","05/18/2016","Dick & Peg Knowlton","2037-2256. Calm, partly cloudy, apparently a good deal of traffic noise.  This is the same route run beginning in 2014, with the exception that the 11th stop was added to Nashua River Route #2 as stop #1 to replace stop #9.","20:37","22:56",2016
"Nashua River Floodplain: Route #2","05/18/2016","Dick & Peg Knowlton","2300-01218. Calm, partly cloudy, apparently a good deal of traffic noise. No new stops were created or moved in 2016, but Stop # 11 in the Nashua River Route #1 became stop #1 in Nashua River Route #2, and previous stop #s 1-8 in Nashua River Route #2 were shifted up one numerical number (ex. previous stop #1 became new stop #2).  Previous stop #9 was eliminatd due to access issues, and stop #10 remained the same.","23:00","1:21",2016
"Quabbin - Prescott","05/20/2016","Larry Therrien","2025-2207.  Calm,  clear, low noise.  Same route since 2013.  Additional EWPW heard: 1 EWPW west between stops 1  and 2; 1 EWPW heard bewteen stops 3 and 4; 1 east between stops 4 & 5.","20:25","22:07",2016
"Quabbin - South Quabbin","05/18/2016","Larry Therrien","2022-2221  Calm, mostly clear, low noise.  Same orute run in 2014.  ","20:22","22:21",2016
"Quabbin - North Quabbin","05/20/2016","Chris Buelow","2120-2350.  Calm, mostly clear, low noise.  Stop #2 not visited.  Same Route as previous years.","21:20","23:50",2016
"Quabbin - East Quabbin","05/20/2016","Chris Buelow","0020-0315.  Calm, clear, low noise.    Stop 4 moved to Double Day Village shore. ","0:20","3:15",2016
"Quabbin - Patrill Hollow","05/20/2016","Chris Buelow","0320-0355  Calm, clear, low noise.    First year of this route.  Stops 5-9 not visited.","3:20","3:55",2016
"Ware River Watershed","05/18/2016","Chris Buelow","2155-0030.  Mostly calm, partly cloudy, low noise.    First year of this route. ","21:55","0:30",2016
"Freetown State Forest","05/25/2016","Lynn Abbey, Everet Castro","2040-2300.  Calm, mostly clear.  Very Quiet. ","20:40","23:00",2016
"Old Sandwich Road, Plymouth (Pine Hills)","05/20/2016","Stew Sanders, Ken Donovan, Melissa Brosanders","2058-2300.  Calm, clear sky, moderate noise.","20:58","23:00",2016
"Sylvester Street, Northampton","06/21/2016","Benjamin Mazzei","2245-0045: Calm, clear, low noise.  ","22:45","0:45",2016
"Drake & Sodom Mountains, Southwick","06/13/2015","Benjamin Mazzei","2130-2330: lowwind, clear, some  noise.  Same as 2015 route.","21:30","23:30",2016
"Western Myles Standish SP","05/20/2016","Trevor Lloyd-Evans","2048-2241:  Calm, clear, quiet.  No change in stop location since 2012.","20:48","22:41",2016
"Western Myles Standish SP","05/20/2016","Trevor Lloyd-Evans","2048-2241:  Calm, clear, quiet.  No change in stop location since 2012.","20:48","22:41",2016
"Western Myles Standish SP","05/20/2016","Trevor Lloyd-Evans","2048-2241:  Calm, clear, quiet.  No change in stop location since 2012.","20:48","22:41",2016
"Western Myles Standish SP","05/20/2016","Trevor Lloyd-Evans","2048-2241:  Calm, clear, quiet.  No change in stop location since 2012.","20:48","22:41",2016
"Mast Road, Plymouth (Myles Standish)","05/22/2016","Trevor Lloyd-Evans","2123-2325.  Calm, clear, low noise, very few cars.  No change in stop location since 2012.","21:23","23:25",2016
"Masachusetts Military Reservation","05/25/2015","Kaitlin Haase, Matt Penella, Annie Curtis, Jake McCumber","2042-2304  Calm, clear, low-to-moderate noise. Stop #1 had 2 chuck-wills widows (south, moderate and wsw, near).  Stop #2 had one chuck-wills widow (west , moderate).  Stop #3 had w chick-wills widow calling after the six-minute listening period (east and southeast).  Frogs dirupted stop #5.","20:42","23:04",2016
"Masachusetts Military Reservation","05/25/2015","Kaitlin Haase, Matt Penella, Annie Curtis, Jake McCumber","2042-2304  Calm, clear, low-to-moderate noise. Stop #1 had 2 chuck-wills widows (south, moderate and wsw, near).  Stop #2 had one chuck-wills widow (west , moderate).  Stop #3 had w chick-wills widow calling after the six-minute listening period (east and southeast).  Frogs dirupted stop #5.","20:42","23:04",2016
"Masachusetts Military Reservation","05/25/2015","Kaitlin Haase, Matt Penella, Annie Curtis, Jake McCumber","2042-2304  Calm, clear, low-to-moderate noise. Stop #1 had 2 chuck-wills widows (south, moderate and wsw, near).  Stop #2 had one chuck-wills widow (west , moderate).  Stop #3 had w chick-wills widow calling after the six-minute listening period (east and southeast).  Frogs dirupted stop #5.","20:42","23:04",2016
"Masachusetts Military Reservation","05/25/2015","Kaitlin Haase, Matt Penella, Annie Curtis, Jake McCumber","2042-2304  Calm, clear, low-to-moderate noise. Stop #1 had 2 chuck-wills widows (south, moderate and wsw, near).  Stop #2 had one chuck-wills widow (west , moderate).  Stop #3 had w chick-wills widow calling after the six-minute listening period (east and southeast).  Frogs dirupted stop #5.","20:42","23:04",2016
"Masachusetts Military Reservation","05/25/2015","Kaitlin Haase, Matt Penella, Annie Curtis, Jake McCumber","2042-2304  Calm, clear, low-to-moderate noise. Stop #1 had 2 chuck-wills widows (south, moderate and wsw, near).  Stop #2 had one chuck-wills widow (west , moderate).  Stop #3 had w chick-wills widow calling after the six-minute listening period (east and southeast).  Frogs dirupted stop #5.","20:42","23:04",2016
"Orchard Street Area, Byfield","05/20/2016","Lynette Leka","2045-2239..  This is the first running of this route in 2016.  This route has not changed in several years.","20:45","22:39",2016
"Orchard Street Area, Byfield","06/15/2016","Lynette Leka","2105-23-15: Calm, clear, moderate noise and a fair number of passing cars.  This is the second running of this route in 2016.  This route has not changed in several years.","21:05",NA,2016
"Brimfield Tornado Route East","05/25/2016","Rebecca DiGirolomo","0110-0349: Calm, clear, moderate noise.  This is the inaugural running of this route, but route will be merged into a ten stop route with the Western Brimfield Tornado Route in 2017.  Only stop #s 8-10 have lat/long generated for this survey: all will change next year.","1:10","3:49",2016
"Douglas State Forest","05/20/2016","Kim Justham","2213-xxxx: Calm, clear, moderate to high noise on the second half of route.  This route has not changed in several years.","22:13",NA,2016
"Oxbow NWR (The Desert)","06/20/2016","Laura Mattei, Eileen McGourty","2107-2224.  Mostly clear, calm.  McGourt surveyed stops 3-7, Mattei surveyed the rest.","21:07","22:24",2016
"Parker River NWR","05/20/2016","Katlyn Hojnecki","2108-2227: Light wind, clear low-to-moderate noise.  Additional whip-poor-wills heard: 4 between stop #s 4 & 5 (one just north of Bill Forward field, one just north of Bill Forward blind, one on northside of Hellcat parkinglot, and one far top the west in Hellcat Woods by crosswalk); 2 between stop #s 3 & 4 (heard calling just south of sub-headquarters); and 2 Between stop #s 2 & 3 (one seen sitting on the side of road and calling, another seen flying from a nearby shrub).","21:08","22:27",2016
"Nantucket Moors","05/19/2016","Andrew McKenna-Foster & Skyler Kardell","2045-2300. Calm, Clear, but with increasing clouds, low-to-moderate noise, few cars.  Same Route as 2013.  Chuck-wills-widow at stop #3 (se, moderate distance)","20:45","23:00",2016
"Birch Hill Dam","06/16/2016","Zach Koziol & Bill Mehr","2115-2330.  Calm, beginning clear, but with increasing cloudiness.  2016 is the inaugural run of this route.","21:15","23:30",2016
